Sample Name,QC Flag (0 - high qulaity),Site,Plot,Year,Species,Rep,Latitude,Longitude,Elevation (m),Dbh (cm),Ht (m),Date,DOY,Time of Day,%N,LMA (g m-2),Leaf water Content,Leaf size (cm2),15N,13C,%C,C/N,Licor Obs #,PAR Setpoint (umol m-2 s-1),PAR Incident on leaf (umol m-2 s-1),PAR absorbed by leaf (umol m-2 s-1),Absorbed Shortwave Radiation (W/m-2),Heat exchange setpoint (oC),CO2 Setpoint (µmol mol?¹),H2O setpoint (mmol mol-1),Net CO2 Assimilation Rate (umol CO2 m-2 s-1),Transpiration Rate (mol m?² s?¹),Ambient CO2 (µmol mol?¹),Intercellular CO2 (µmol mol?¹),Stomatal Conductance to Water Vapor (mol m-2 s-1),Boundary Layer Conductance to Water Vapor (mol m-2 s-1),Total Conductance to Water Vapor (mol m-2 s-1),Total Conductance to CO2 (mol m-2 s-1),Leaf Temperature used for gas exchange computations (oC),Chamber Air Temperature (oC),Leaf Thermocouple 1 (oC),Saturation vapor pressure at leaf temperature  (kPa),Relative Humidity of Chamber (%),Vapor Pressure of Chamber (kPa),Saturation vapor pressure in chamber (kPa),Vapor pressure deficit at leaf temperature (kPa),LatHFlux (W m-2),SenHFlux (W m-2),NetTherm (W m-2),EBSum (W m-2),Leak from chamber  (umol s-1),Leak as percent of flow (%),Correction factor (K),Correction factor as a percent (%),Sample Cell CO2 conc (µmol mol?¹),Reference Cell CO2 conc (µmol mol?¹),Sample Cell H2O conc (mmol mol?¹),Reference Cell H2O conc (mmol mol?¹),Flow rate to chamber (µmol s?¹),Atmospheric Pressure (kPa),Fan Speed (rpm),Flow through sample cell (µmol s?¹),Flow through reference cell (µmol s?¹),filename,Net CO2 uptake (nmol g leaf-1 s-1),PSN eq 1,pSN eq 2,PSN eq 3,inti_a,a1_init,Amax_init
BEF-30G-BEPA-1-2017,0,BEF,30G,2017,BEPA,1,44,71,357,-9999,18.2,7/27/2017,208,10:37 AM,0.02,76.2,-9999,13.91,-1.03,-27.24,0.4887,24.38,1,2000,2000.05,1686.04,330.46,17.81,400,13.18,12.47,0.00324,386.23,278.38,0.21,2.22,0.199,0.126,24.66,23.41,24.65,3.12,54.26,1.57,2.89,1.55,-142.97,-148.17,-13.97,25.35,0,0,1,0,386.26,399.95,16.1,12.93,600.02,97.27,9992,629.78,328.96,2017-07-27-30G-1-BEPA-LRC,163.648294,8.000016,7.407421125,171.818595,7777777,0.606299213,163.648294
BEF-30G-BEPA-1-2017,0,BEF,30G,2017,BEPA,1,44,71,357,-9999,18.2,7/27/2017,208,10:38 AM,0.02,76.2,-9999,13.91,-1.03,-27.24,0.4887,24.38,2,1000,999.77,842.8,165.24,25.08,400,10.38,11.97,0.00359,386.62,293.52,0.238,2.22,0.225,0.142,23.22,23.59,23.23,2.86,45.73,1.34,2.92,1.52,-158.17,43.53,4.08,54.68,0,0,1,0,386.61,399.97,13.7,10.16,600.01,97.27,10020,631.21,326.41,2017-07-27-30G-1-BEPA-LRC,157.0866142,7.407154957,6.896332894,156.6602766,7777777,0.606299213,163.648294
BEF-30G-BEPA-1-2017,0,BEF,30G,2017,BEPA,1,44,71,357,-9999,18.2,7/27/2017,208,10:38 AM,0.02,76.2,-9999,13.91,-1.03,-27.24,0.4887,24.38,3,500,500.14,421.61,82.64,30.96,400,11.03,10.82,0.00341,387.73,296.09,0.219,2.22,0.208,0.131,23.66,25.07,23.67,2.93,42.87,1.37,3.19,1.57,-150.53,167.34,15.84,115.29,0,0,1,0,387.73,399.88,14.05,10.68,600.02,97.27,10009,631.3,326.37,2017-07-27-30G-1-BEPA-LRC,141.9947507,6.452078988,6.06101736,132.8685691,0.3125984,0.606299213,163.648294
BEF-30G-BEPA-1-2017,0,BEF,30G,2017,BEPA,1,44,71,357,-9999,18.2,7/27/2017,208,10:39 AM,0.02,76.2,-9999,13.91,-1.03,-27.24,0.4887,24.38,4,200,199.98,168.58,33.04,32.16,400,12,6.46,0.00332,392.15,331.85,0.213,2.22,0.202,0.127,24.14,26.08,24.16,3.02,43,1.46,3.39,1.56,-146.2,230.37,21.97,139.17,0,0,1,0,392.13,399.93,14.97,11.7,600.01,97.28,10008,631.06,327.22,2017-07-27-30G-1-BEPA-LRC,84.77690289,4.650946446,4.444246903,89.99499975,0.4954068,0.606299213,163.648294
BEF-30G-BEPA-1-2017,0,BEF,30G,2017,BEPA,1,44,71,357,-9999,18.2,7/27/2017,208,10:40 AM,0.02,76.2,-9999,13.91,-1.03,-27.24,0.4887,24.38,5,100,100.02,84.32,16.53,24.56,400,11.99,3.5,0.00316,395.27,359.27,0.218,2.2,0.207,0.13,23.82,25.29,23.81,2.96,46.61,1.51,3.24,1.45,-139.26,175.89,16.82,69.98,0,0,1,0,395.26,400.03,15.47,12.35,600.01,97.28,9901,630.39,327.64,2017-07-27-30G-1-BEPA-LRC,45.93175853,3.175006269,3.077301746,56.67555496,0.6023622,0.606299213,163.648294
BEF-30G-BEPA-1-2017,0,BEF,30G,2017,BEPA,1,44,71,357,-9999,18.2,7/27/2017,208,10:40 AM,0.02,76.2,-9999,13.91,-1.03,-27.24,0.4887,24.38,6,50,49.9,42.07,8.25,26.6,400,11.38,1.22,0.00329,397.43,378.68,0.223,2.22,0.211,0.133,23.61,25.34,23.61,2.93,44.42,1.44,3.24,1.48,-145.04,206.97,19.61,89.79,0,0,1,0,397.44,399.94,14.78,11.54,600,97.27,10013,630.92,326.85,2017-07-27-30G-1-BEPA-LRC,16.01049869,1.938729918,1.901858028,29.93597439,0.6062992,0.606299213,163.648294
BEF-30G-BEPA-1-2017,0,BEF,30G,2017,BEPA,1,44,71,357,-9999,18.2,7/27/2017,208,10:41 AM,0.02,76.2,-9999,13.91,-1.03,-27.24,0.4887,24.38,7,0,0,0,0,28.24,400,11.64,-1.09,0.0033,399.69,397.96,0.217,2.21,0.206,0.13,23.79,25.69,23.79,2.96,43.11,1.43,3.31,1.53,-145.58,226.89,21.62,102.93,0,0,1,0,399.71,399.91,14.65,11.4,599.99,97.28,9979,630.61,326.44,2017-07-27-30G-1-BEPA-LRC,-14.30446194,0,0,-10,7777777,0.606299213,163.648294
BEF-30G-POTR-13-2017,0,BEF,30G,2017,POTR,13,44,71,357,-9999,23.1,7/27/2017,208,1:51 PM,0.0195,83.46,-9999,33.31,-1.48,-29.56,0.486,24.93,1,2000,1999.82,1685.85,330.44,20.44,400,23.1,10.16,-0.000376,389.99,387.7,-4.99,2.21,-0.0197,4.38,29.38,26.28,29.35,4.11,67.38,2.31,3.43,1.8,16.57,-368.72,-36.23,-57.95,0,0,1,0,389.99,400.01,23.8,24.14,600.02,97.1,9978,636.35,322.98,2017-07-27-30G-13-POTR-LRC,121.7349629,7.999942395,7.407358021,171.8166941,7777777,0.946561227,121.7349629
BEF-30G-POTR-13-2017,0,BEF,30G,2017,POTR,13,44,71,357,-9999,23.1,7/27/2017,208,1:52 PM,0.0195,83.46,-9999,33.31,-1.48,-29.56,0.486,24.93,2,1500,1499.96,1264.47,247.84,28.5,400,17.03,8.8,0.00304,389.86,311.6,0.211,2.22,0.2,0.126,28.54,26.76,28.54,3.92,70.54,2.49,3.53,1.43,-134.02,-214.13,-20.95,-121.27,0,0,1,0,389.8,399.84,25.49,22.54,600,97.1,10013,638.28,321.89,2017-07-27-30G-13-POTR-LRC,105.4397316,7.792186203,7.228897082,166.4700346,7777777,0.946561227,121.7349629
BEF-30G-POTR-13-2017,0,BEF,30G,2017,POTR,13,44,71,357,-9999,23.1,7/27/2017,208,1:54 PM,0.0195,83.46,-9999,33.31,-1.48,-29.56,0.486,24.93,3,1000,999.83,842.86,165.24,39.21,400,25.34,9.32,0.00127,390.17,175.69,0.0733,2.22,0.072,0.0451,29,28.95,29.02,4.02,58.95,2.36,4.01,1.66,-56.08,-8.83,-0.88,99.46,0,0,1,0,390.17,400,24.28,23.03,600.01,97.09,10020,637.59,321.18,2017-07-27-30G-13-POTR-LRC,111.6702612,7.407220824,6.896389988,156.6619438,7777777,0.946561227,121.7349629
